"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"91",33,125,448294,125,41607650,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,99698,0.1
"92",34,126,200672,126,16086530,"Tree Cover = 26%",154,217,108,0.603922,0.85098,0.423529,44628,0.1
"93",35,127,233043,127,18727838,"Tree Cover = 27%",150,214,105,0.588235,0.839216,0.411765,51828,0.1
"94",36,128,270435,128,18708923,"Tree Cover = 28%",146,212,102,0.572549,0.831373,0.4,60143,0.1
"95",37,129,313293,129,20747451,"Tree Cover = 29%",144,209,100,0.564706,0.819608,0.392157,69675,0.1
"96",38,130,362625,130,19623262,"Tree Cover = 30%",143,209,98,0.560784,0.819608,0.384314,80646,0.1
"97",39,131,416866,131,19345830,"Tree Cover = 31%",138,207,95,0.541176,0.811765,0.372549,92709,0.1
"98",40,132,478559,132,19814034,"Tree Cover = 32%",136,204,94,0.533333,0.8,0.368627,106429,0.1
"99",96,188,474196,188,8152661,"Tree Cover = 88%",10,74,6,0.039216,0.290196,0.023529,105459,0.1
"100",97,189,233674,189,5662197,"Tree Cover = 89%",9,71,5,0.035294,0.278431,0.019608,51968,0.1
"101",98,190,268417,190,3156503,"Tree Cover = 90%",9,71,5,0.035294,0.278431,0.019608,59695,0.1
"102",101,193,182991,193,1906342,"Tree Cover = 93%",6,64,3,0.023529,0.25098,0.011765,40696,0.1
"103",128,235,242316,235,54191785,"Shrub Cover = 35%",201,132,95,0.788235,0.517647,0.372549,53890,0.1
"104",138,245,186814,245,7695545,"Shrub Cover = 45%",196,115,82,0.768627,0.45098,0.321569,41546,0.1
"105",183,332,193005,332,28320132,"Herb Cover = 32%",255,176,79,1,0.690196,0.309804,42923,0.1
"106",184,333,204124,333,4464835,"Herb Cover = 33%",255,173,79,1,0.678431,0.309804,45396,0.1
"107",185,334,247307,334,25757946,"Herb Cover = 34%",255,172,77,1,0.67451,0.301961,55000,0.1
"108",186,335,275589,335,50643114,"Herb Cover = 35%",255,172,77,1,0.67451,0.301961,61290,0.1
"109",187,336,266816,336,30326719,"Herb Cover = 36%",255,171,74,1,0.670588,0.290196,59338,0.1
"110",188,337,287345,337,35862323,"Herb Cover = 37%",255,167,74,1,0.654902,0.290196,63904,0.1
"111",189,338,322004,338,42373587,"Herb Cover = 38%",255,166,71,1,0.65098,0.278431,71612,0.1
"112",190,339,339814,339,9094270,"Herb Cover = 39%",255,166,71,1,0.65098,0.278431,75573,0.1
"113",191,340,379741,340,43249375,"Herb Cover = 40%",255,162,69,1,0.635294,0.270588,84452,0.1
"114",192,341,402866,341,37605691,"Herb Cover = 41%",255,162,69,1,0.635294,0.270588,89595,0.1
"115",193,342,449662,342,44578721,"Herb Cover = 42%",255,161,66,1,0.631373,0.258824,100002,0.1
"116",213,362,482721,362,37216255,"Herb Cover = 62%",255,124,43,1,0.486275,0.168627,107355,0.1
"117",214,363,405401,363,14131015,"Herb Cover = 63%",255,124,43,1,0.486275,0.168627,90159,0.1
"118",215,364,331937,364,43633391,"Herb Cover = 64%",255,123,41,1,0.482353,0.160784,73821,0.1
"119",216,365,272706,365,41519172,"Herb Cover = 65%",255,119,41,1,0.466667,0.160784,60648,0.1
"120",217,366,258470,366,28705674,"Herb Cover = 66%",255,119,41,1,0.466667,0.160784,57482,0.1
"121",219,368,173379,368,25520215,"Herb Cover = 68%",255,114,38,1,0.447059,0.14902,38559,0.1
"122",10,31,67658,31,110941119,"Barren",191,191,191,0.74902,0.74902,0.74902,15047,0
"123",17,69,2431,69,2081810,"NASS-Aquaculture",210,255,237,0.823529,1,0.929412,541,0
"124",18,110,19981,110,36085164,"Tree Cover = 10%",204,255,153,0.8,1,0.6,4444,0
"125",19,111,9984,111,6528884,"Tree Cover = 11%",202,252,151,0.792157,0.988235,0.592157,2220,0
"126",20,112,13343,112,7198220,"Tree Cover = 12%",199,250,147,0.780392,0.980392,0.576471,2967,0
"127",21,113,17709,113,7904402,"Tree Cover = 13%",194,247,143,0.760784,0.968627,0.560784,3938,0
"128",22,114,22868,114,8543638,"Tree Cover = 14%",192,245,142,0.752941,0.960784,0.556863,5086,0
"129",23,115,77608,115,23500347,"Tree Cover = 15%",188,242,138,0.737255,0.94902,0.541176,17260,0
"130",24,116,35849,116,10275647,"Tree Cover = 16%",183,240,134,0.717647,0.941176,0.52549,7973,0
"131",25,117,43968,117,11312146,"Tree Cover = 17%",181,237,133,0.709804,0.929412,0.521569,9778,0
"132",26,118,53484,118,12913967,"Tree Cover = 18%",178,235,129,0.698039,0.921569,0.505882,11895,0
"133",27,119,64274,119,13387968,"Tree Cover = 19%",173,232,125,0.678431,0.909804,0.490196,14294,0
"134",28,120,76054,120,14038666,"Tree Cover = 20%",173,232,125,0.678431,0.909804,0.490196,16914,0
"135",29,121,90705,121,14492868,"Tree Cover = 21%",170,230,122,0.666667,0.901961,0.478431,20172,0
"136",30,122,107285,122,14889813,"Tree Cover = 22%",165,227,118,0.647059,0.890196,0.462745,23860,0
"137",31,123,125912,123,15140697,"Tree Cover = 23%",163,224,117,0.639216,0.878431,0.458824,28002,0
"138",32,124,147735,124,15453883,"Tree Cover = 24%",160,222,113,0.627451,0.870588,0.443137,32855,0
"139",99,191,139762,191,2197554,"Tree Cover = 91%",7,69,4,0.027451,0.270588,0.015686,31082,0
"140",100,192,119993,192,1405901,"Tree Cover = 92%",6,66,3,0.023529,0.258824,0.011765,26686,0
"141",102,195,29175,195,299497,"Tree Cover = 95%",4,59,2,0.015686,0.231373,0.007843,6488,0
"142",103,210,28493,210,22881636,"Shrub Cover = 10%",212,178,125,0.831373,0.698039,0.490196,6337,0
"143",104,211,13519,211,19812687,"Shrub Cover = 11%",212,176,123,0.831373,0.690196,0.482353,3007,0
"144",105,212,21799,212,26356283,"Shrub Cover = 12%",212,175,123,0.831373,0.686275,0.482353,4848,0
"145",106,213,22387,213,1339955,"Shrub Cover = 13%",212,174,121,0.831373,0.682353,0.47451,4979,0
"146",107,214,33409,214,43350227,"Shrub Cover = 14%",209,170,119,0.819608,0.666667,0.466667,7430,0
"147",108,215,40475,215,13238742,"Shrub Cover = 15%",209,168,117,0.819608,0.658824,0.458824,9001,0
"148",109,216,40563,216,39944836,"Shrub Cover = 16%",209,166,117,0.819608,0.65098,0.458824,9021,0
"149",110,217,32446,217,27673741,"Shrub Cover = 17%",209,165,115,0.819608,0.647059,0.45098,7216,0
"150",111,218,33615,218,30909703,"Shrub Cover = 18%",209,164,115,0.819608,0.643137,0.45098,7476,0
"151",112,219,28238,219,45166074,"Shrub Cover = 19%",209,161,113,0.819608,0.631373,0.443137,6280,0
"152",113,220,30034,220,66027637,"Shrub Cover = 20%",207,159,112,0.811765,0.623529,0.439216,6679,0
"153",114,221,30134,221,34841727,"Shrub Cover = 21%",207,156,109,0.811765,0.611765,0.427451,6702,0
