"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"123",77,1641,12366,1641,12415,14940,51,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,2750,0
"124",79,1891,63,1891,614906,13030,63,"13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,14,23,63,"I-B",215,185,100,0.843137,0.72549,0.392157,14,0
"125",80,1893,43232,1893,173208,13620,63,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",309,447,65,48,16,11,73,"III-A",255,191,191,1,0.74902,0.74902,9615,0
"126",84,1897,12220,1897,26650,13730,63,"13730_63_64","Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Hardwood-Conifer",1053,-9999,-9999,1053,100,-9999,-9999,"V-B",130,160,100,0.509804,0.627451,0.392157,2718,0
"127",85,1898,14898,1898,61340,13770,63,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,46,50,4,"III-B",255,0,77,1,0,0.301961,3313,0
"128",86,1899,44,1899,17962,14000,63,"14000_63","Central Appalachian Alkaline Glade and Woodland","Savanna",5,19,1421,4,78,21,1,"II-A",255,153,229,1,0.6,0.898039,10,0
"129",90,1903,52916,1903,63910,14770,63,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,11768,0
"130",92,1905,127988,1905,191630,14810,63,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",232,189,255,0.909804,0.741176,1,28464,0
"131",99,1914,3407,1914,1251026,13700,62,"13700_53_61_62","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1036,1083,-9999,529,51,49,-9999,"V-B",214,255,145,0.839216,1,0.568627,758,0
"132",102,1917,40445,1917,161726,14790,62,"14790_52_62","Central Interior and Appalachian Swamp Systems","Riparian",989,-9999,-9999,989,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,8995,0
