OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1835,1835,260.000000000000000,1633,9114,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Alkaline Fen,Riparian
1836,1836,256.000000000000000,1633,7466,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Great Lakes Wooded Dune and Swale,Riparian
1837,1837,746.000000000000000,1629,7925,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Eastern Cool Temperate Developed Deciduous Forest,Developed
1838,1838,8.000000000000000,1620,9318,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
1839,1839,595.000000000000000,1633,7906,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Cool Temperate Urban Evergreen Forest,Developed
1840,1840,176.000000000000000,1629,7970,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Eastern Cool Temperate Orchard,Agricultural
1841,1841,1.000000000000000,1633,9601,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Great Lakes Dune Grassland,Grassland
1842,1842,1.000000000000000,1629,9111,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Laurentian Acidic Rocky Outcrop Woodland,Conifer
1843,1843,1.000000000000000,1621,9611,13442_51,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer,Laurentian Acidic Rocky Outcrop Shrubland,Shrubland
1844,1844,5.000000000000000,1629,9295,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood
1845,1845,187.000000000000000,1629,7978,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Eastern Cool Temperate Wheat,Agricultural
1846,1846,13.000000000000000,1629,9114,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Laurentian-Acadian Alkaline Fen,Riparian
1847,1847,29.000000000000000,1629,7928,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Eastern Cool Temperate Developed Shrubland,Developed
1848,1848,8.000000000000000,1629,9617,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Laurentian-Acadian Floodplain Shrubland,Riparian
1849,1849,840.000000000000000,1629,9117,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Laurentian-Acadian Floodplain Forest,Riparian
1850,1850,117.000000000000000,1633,7929,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Cool Temperate Developed Herbaceous,Developed
1851,1851,11.000000000000000,1637,9611,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Laurentian Acidic Rocky Outcrop Shrubland,Shrubland
1852,1852,418.000000000000000,1629,7927,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Eastern Cool Temperate Developed Mixed Forest,Developed
1853,1853,140737.000000000000000,1622,7970,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Orchard,Agricultural
1854,1854,307.000000000000000,1620,7978,13441_51,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer,Eastern Cool Temperate Wheat,Agricultural
1855,1855,28.000000000000000,1641,7239,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood
1856,1856,580.000000000000000,1633,9057,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian
1857,1857,73.000000000000000,1614,7466,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Great Lakes Wooded Dune and Swale,Riparian
1858,1858,133.000000000000000,1636,7979,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Eastern Cool Temperate Aquaculture,Agricultural
1859,1859,394.000000000000000,1633,7979,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Cool Temperate Aquaculture,Agricultural
1860,1860,1093.000000000000000,1637,7295,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
1861,1861,120.000000000000000,1636,9314,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
1862,1862,1.000000000000000,1640,9314,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
1863,1863,7922.000000000000000,1622,9318,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
1864,1864,130.000000000000000,1636,9318,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
1865,1865,254.000000000000000,1622,7979,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Eastern Cool Temperate Aquaculture,Agricultural
1866,1866,315.000000000000000,1633,9617,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Laurentian-Acadian Floodplain Shrubland,Riparian
1867,1867,125.000000000000000,1622,9114,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,Laurentian-Acadian Alkaline Fen,Riparian
1868,1868,10.000000000000000,1641,7906,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Urban Evergreen Forest,Developed
1869,1869,95.000000000000000,1633,9314,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
1870,1870,8.000000000000000,1633,9318,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
1871,1871,53.000000000000000,1590,7975,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Close Grown Crop,Agricultural
1872,1872,26.000000000000000,1598,7240,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,Laurentian-Acadian Hardwood Forest,Hardwood
1873,1873,5.000000000000000,1597,7412,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,North-Central Interior Sand and Gravel Tallgrass Prairie,Grassland
